Match Group,Set,Target,Race,Gender,Age,Attractive,Luminance_median,NumberofRaters,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Nose_Width,Nose_Length,Lip_Thickness,Face_Length,R_Eye_H,L_Eye_H,Avg_Eye_Height,R_Eye_W,L_Eye_W,Avg_Eye_Width,Face_Width_Cheeks,Face_Width_Mouth,Forehead,Pupil_Top_R,Pupil_Top_L,Asymmetry_pupil_top,Pupil_Lip_R,Pupil_Lip_L,Asymmetry_pupil_lip,BottomLip_Chin,Midcheek_Chin_R,Midcheek_Chin_L,Cheeks_avg,Midbrow_Hairline_R,Midbrow_Hairline_L,Faceshape,Heartshapeness,Noseshape,LipFullness,EyeShape,EyeSize,UpperHeadLength,MidfaceLength,ChinLength,ForeheadHeight,CheekboneHeight,CheekboneProminence,FaceRoundness,fWHR
8,C,BF-228,B,F,36.10344828,4.103448276,123,29,1,0,0,1,0,0,0,0,2.068965517,2.448275862,2.172413793,2.206896552,3.25,4.896551724,4.344827586,2.275862069,3.388888889,2.068965517,.,2.413793103,2.25,4.103448276,2.551724138,260.5,290.5,137,1302,52.5,56,54.25,170,171.5,170.75,629.5,526.5,532.5,523.5,546.5,23,404,401,3,210.5,515,499,507,404.5,413,0.483486943,1.195631529,0.896729776,0.105222734,0.317715959,0.041666667,0.408986175,0.309139785,0.161674347,0.313940092,0.389400922,103,0.40437788,1.638860887
8,D,BF-201,B,F,27.4,4.16,98.5,25,1,0,0,1,0,0,0,0,1.6,2.04,1.72,1.8,2.36,5,2.52,1.52,3.673913043,1.8,.,1.56,1.88,3.84,2.12,248,267.5,139,1206.5,58,55,56.5,164.5,163.5,164,622,502.5,441,496,493,3,363.5,362.5,1,195,459,462,460.5,359.5,376,0.515540821,1.237810945,0.927102804,0.115209283,0.344512195,0.046829673,0.365520099,0.300870286,0.161624534,0.304807294,0.381682553,119.5,0.416493991,1.802695176
9,A,BM-030,B,M,25.26041667,3.446808511,82,96,0.010416667,0.989583333,0.020833333,0.833333333,0.09375,0.020833333,0.03125,0,1.64516129,1.741935484,2.978723404,1.617021277,2.384615385,1.744680851,3.989361702,5.010638298,3.270833333,1.808510638,3.692307692,1.882978723,2.159574468,3.808510638,2.70212766,279.5,242.5,135.5,1136.5,46,49.5,47.75,157,161,159,726.5,615,413,404,405.5,1.5,384,381,3,207,507.5,513,510.25,322.5,315.5,0.639243291,1.181300813,1.15257732,0.119225693,0.300314465,0.042014958,0.363396392,0.336559613,0.182138143,0.280686318,0.448966124,0.098108227,0.541135064,1.87
9,B,BM-241,B,M,33.61538462,3.384615385,95,26,0,1,0,0.961538462,0.038461538,0,0,0,2,3.28,1.576923077,2.64,5.423076923,1.346153846,2.5,6.192307692,4.340425532,2.5,.,1.884615385,3.68,3.346153846,3.076923077,282,206.5,149.5,1140,42.5,49.5,46,158,157,157.5,648.5,527,412.5,413.5,418.5,5,348,347.5,0.5,224.5,491,486,488.5,315,318.5,0.568859649,1.230550285,1.365617433,0.131140351,0.292063492,0.040350877,0.361842105,0.30504386,0.196929825,0.277850877,0.428508772,121.5,0.462280702,1.908238535
9,C,BM-032,B,M,34.54494382,3.295454545,71.5,88,0,1,0,0.988636364,0.011363636,0,0,0,1.793103448,2.397727273,1.988636364,2.011363636,3.304347826,1.715909091,3.022727273,5.238636364,3.666666667,2.215909091,4.423076923,1.977272727,2.397727273,3.659090909,2.215909091,269.5,216.5,132,1199,54.5,57.5,56,158.5,156.5,157.5,699.5,631,494,437.5,446,8.5,352,353,1,223.5,507.5,489,498.25,383,359.5,0.583402836,1.108557845,1.244803695,0.110091743,0.355555556,0.046705588,0.412010008,0.293994996,0.186405338,0.309633028,0.415554629,0.057130942,0.526271893,2.08
9,D,BM-205,B,M,27.56,3.24,83,25,0,1,0,1,0,0,0,0,1.375,1.52,2.44,1.4,3.416666667,1.2,3.36,5.2,4.4,1.72,.,1.44,1.92,3.4,2.04,301.5,226,190,1151,45,39,42,165.5,159.5,162.5,657.5,578.5,375,425,426,1,341.5,340.5,1,188,445.5,451,448.25,294,319.5,0.571242398,1.136560069,1.334070796,0.165073849,0.258461538,0.036490009,0.325803649,0.296264118,0.163336229,0.266507385,0.389443962,79,0.502606429,2.047338181
10,C,BM-236,B,M,38.35714286,3.607142857,90.5,28,0,1,0,1,0,0,0,0,1.851851852,1.5,1.928571429,2.107142857,4.142857143,1.535714286,3.925925926,5.464285714,4.189189189,2.071428571,.,1.962962963,1.857142857,4.214285714,2.107142857,290.5,233,142.5,1184,40,41.5,40.75,145,145,145,658.5,548.5,435.5,426,424.5,1.5,366.5,364.5,2,235,500.5,513.5,507,334.5,329,0.556165541,1.200546946,1.246781116,0.12035473,0.281034483,0.03441723,0.367820946,0.308699324,0.19847973,0.280194257,0.428209459,110,0.463260135,1.762692333
10,B,BM-002,B,M,25.10638298,3.670212766,89.5,94,0,1,0,0.989361702,0.010638298,0,0,0,1.79787234,2.032608696,2.542553191,1.829787234,3.703703704,2.042553191,3.163043478,4.968085106,3.615384615,2.010638298,4.615384615,1.819148936,2.234042553,3.617021277,2.436170213,285,215,142.5,1134,52,53.5,52.75,169,176.5,172.75,683,617.5,405,413,412,1,332.5,356,23.5,235.5,505.5,503.5,504.5,308,311,0.602292769,1.106072874,1.325581395,0.125661376,0.305354559,0.046516755,0.357142857,0.303571429,0.207671958,0.27292769,0.444885362,0.057760141,0.544532628,1.93
10,A,BM-229,B,M,27.68965517,3.75862069,84,29,0,1,0,1,0,0,0,0,1.785714286,2.379310345,2.310344828,2.310344828,3.413793103,1.24137931,2.75862069,5.310344828,4.238095238,2.413793103,.,1.724137931,2.310344828,3.827586207,1.517241379,308,248.5,177,1252,53,55.5,54.25,168,166.5,167.25,663,503,503.5,505.5,521,15.5,371.5,362,9.5,195.5,499,498,498.5,389.5,406.5,0.529552716,1.318091451,1.23943662,0.141373802,0.324364723,0.043330671,0.40215655,0.29293131,0.15615016,0.317891374,0.398162939,160,0.401757188,1.844954517
10,D,BM-022,B,M,33.10989011,3.791208791,91.5,91,0,1,0,1,0,0,0,0,2.111111111,2.411111111,1.89010989,2.087912088,4.074074074,1.692307692,2.406593407,5.1,3.795918367,2.736263736,4.307692308,1.879120879,2.472527473,3.747252747,2.318681319,221.5,202,115,1112.5,58,53,55.5,145.5,151,148.25,579.5,531,471.5,437,454.5,17.5,358.5,351,7.5,173.5,438,432,435,333.5,360,0.520898876,1.0913371,1.096534653,0.103370787,0.374367622,0.04988764,0.423820225,0.318876404,0.155955056,0.311685393,0.391011236,0.043595506,0.477303371,1.72
